DW_LOCALIDADE;id_estado;id_cidade;ds_estado;ds_cidade
0cfbf2fce090ac215ee7635ac0f92d95554ed67a4c9324de7a49165ad202802d;33;165;SP;ALTINOPOLIS
dab64ed5385436a4bbd91b5b84f5df83c2e527cc578506809613cb3ee4d77e47;32;348;SE;ARACAJU
3c6139b2d099901d239f12ff778ae32ac69d023c11be30f6a9ea759104eef6f7;3;1724;AL;CONTAGEM
0194f15274639e40a6ea92b9fc550447aca23a9be03a43edfa7f8ae4c0fc052b;6;37;BA;ACUPE (SANTO AMARO)
086bf196369e24cc2125b4875fb91fd98fd9dac5c51f7d1c3818c5b5350873b4;11;315;GO;APARECIDA DE GOIANIA
63200c5b2f0f9b247afcfae17c2279a3fe1c58026d21a41fce211e2387171c0c;33;423;SP;ARCO-IRIS
a83d9d1b05d5abe80d603526c1f22d493467ad6f8c5c025cc84621deb5d8019a;11;635;GO;BANDEIRANTES
a5f5236b0c6055c992070c11a5690a946f306c64396bc43c3290546f71d2bd93;20;1106;PE;CABO DE SANTO AGOSTINHO
68b6ca03c0a9308a8077918189b3da4018440811138aad84a14da372e4b9e666;33;81;SP;AGUAS DE SAO PEDRO
83b9b248d7dfe707249307a7a9c29aab8bc7f0221f991b974668382f2432592a;11;85;GO;AGUAS LINDAS DE GOIAS
ca227b9d2f2e5737ed04969b6ea89d250bed66bff2ea30c046121b38c3555af5;14;5603;MG;RIBEIRAO DAS NEVES
b2a24def5171bb7fa21ee54dafd726c951f0162d2bab4841163027113e208616;21;28;PI;ACAUA
07890adbe149d67e08444cf2aaf1246f4644a6b4c2f58254f77e3462888f23d5;21;1416;PI;CARAUBAS DO PIAUI
3d9dc6f10e76f5d44cae197fd66903e5126e99b716f63f564738c370842b279e;13;22;MA;ACAILANDIA
e465ff3863be507646b4ec709da5cb144634f9b71af93b48d5e48531d34bf8c8;31;825;SC;BLUMENAU
2ba503caa658eb71a36efca71405d11ea71ca76f8e477361e7e68e65a21deb68;3;1255;AL;CAMPO ALEGRE
1817290061f7863199a3d89925ee094d1669a52cf65b25c05fab8e1bf3491bdb;22;186;PR;ALTO PARAISO
85bee376583003ba6f035371042e4861c808091552d472b749ac1b7f926b2fae;14;2653;MG;GUANHAES
c02e4f31c81de3fb0a211e4728b7483ea83b1ceabae09525b5d882958f2b09f9;28;88;RS;AGUDO
e11235126477329a1f7eee7c590cacab6b2404a821381f94596cc52f0edcb701;20;770;PE;BELEM DO SAO FRANCISCO
679becf4e3990fe10259727767728c162b51e3548aece4811ca4e7740afa4754;11;1501;GO;CATALAO
68c0edeade6d965ec17af2e2ba7412233cac732384eeb5622f9a64c036548562;16;155;MT;ALTA FLORESTA
af2572809554b545cbde51b29ee021ba51fbad8066bacb87e5aa332c61e52e06;6;331;BA;APORA
a9c1d931623e6d4a6d2fdb92bec95ee15ebb85f6b4f97b59a65f8ff1ca7743e7;31;6321;SC;SAO JOSE
43754d5e4129f48c9cbca80cd6de3e61c4f1c9e636ee5580eb217b054d720330;13;169;MA;ALTO ALEGRE DO PINDARE
03685cf1f3087bf7c77a47c47d0c36d3591f1dfa12f9932250e5d8dda4914b63;3;3823;AL;MACEIO
765a86bf4e8934a7209897dbb9cc2a013cc81e3bbdb347048ee2bc8bce61146c;33;43;SP;ADOLFO
ba3bb623cc7eba0dffbb85dea428b3adc5ee3dcc7f7a92be782a590a4d295e10;11;2569;GO;GOIANIA
be6571528b3123ea3e4c1b7d188304bcaeadb58aaeae73c16275859e97689fd6;31;618;SC;BALNEARIO PICARRAS
c3e6737cbfe5efcd31073d7ab71d189a95ffe136ee07f9425248c49be3543851;24;460;RJ;ARRAIAL DO CABO
0f4989001dfabf0d50636bc458db1e091e5a587c60755337dd4e82560a0a6750;14;134;MG;ALFREDO VASCONCELOS
0e03031715bcaff1dcc35442c9d5c61dfcf2e18b1ee1582bb4c03616adedfe5d;25;147;RN;ALMINO AFONSO
e8d73ac5125dea27a2a992a966d8fe79fe06289bca80ac6e0c3d54aba5cdab97;15;321;MS;APARECIDA DO TABOADO
cd0361f4716dbb9e48056839e66691b4c17006306f004f3c0cc8395fd26bac53;3;1363;AL;CAPELA
ae02ab0ac55af45f0b9c4ed4ccf167193e9472e422d8476efe34f1f9cbe8e165;28;2225;RS;ENGENHO VELHO
c1a0672ffdd8f7abeb2b3c9390cfbc2f488cc20356bcb9119cd13355b84f7c4c;28;464;RS;ARROIO DO SAL
94441845b4acba5fc6e263898e7063c217a6a196ed6ec117f2387ecafcf70637;6;3056;BA;ITABUNA
490e152e6a7e9970744be2b03be88d12318c6aa7a8589cedc58ab41b6fd15aeb;22;2931;PR;IMBITUVA
0be95ef3e4fdde172ed85d1bb5255e03c483ccb86167dce9b5f76fd22ffe49ba;33;2785;SP;HORTOLANDIA
03e65331795e4e78b4dcf02cf1e0d1301cd4a5b9a7110141ea1b8de11c276837;14;625;MG;BAMBUI
9ccab1dbd1bc9444657fd54b10532dec58a1fd49892495b72a4e2776d190601b;14;207;MG;ALVINOPOLIS
917959e09c491f4d9bc140bc05383098a0db0baf4d778167e16ebc5f5cf7b144;7;839;CE;BOA VIAGEM
6bd3fdf40005279a2c32c67c94a009e821305437ad29f1783f1cce0dc062a385;14;3506;MG;JUIZ DE FORA
1a9d3bfed14f3991ac8cf04d61d498c1ea069b785282789005e39a6627cc28f5;11;5;GO;ABADIANIA
7efcbafa689893b5077bacb87ec18af017ccfd102e9a8910aa244b8b001b45d7;6;459;BA;ARRAIAL DAJUDA (PORTO SEGURO)
